400018,60644,1,1,14.1,2,0.73
400022,60616,0,2,19.7,0,0.961
400091,60608,0,1,15,2,0.842
609674,60617,1,1,14.7,1,0.804
609676,60616,1,1,14.8,1,0.801
609678,60605,0,5,25.1,3,0.939
609679,60639,0,2,17.9,2,0.853
609680,60610,0,5,27.8,4,0.939
609682,60609,1,1,14.8,2,0.858
609691,60639,1,1,15.4,2,0.857
609692,60620,1,2,16.9,2,0.806
609693,60624,0,3,20,3,0.935
609694,60629,1,2,16.9,2,0.84
609695,60625,1,2,16.8,2,0.824
609698,60652,1,1,15.7,1,0.803
609702,60612,1,1,13.8,2,0.688
609704,60623,0,1,15.9,2,0.834
609705,60628,1,1,14.1,2,0.779
609707,60621,1,1,13.8,0,0.749
609708,60641,1,1,15.4,1,0.821
609709,60629,1,1,15,1,0.751
609710,60628,1,1,15.1,1,0.705
609711,60636,1,1,14.6,0,0.789
609712,60619,1,1,13.5,0,0.807
609713,60637,1,2,16,1,0.677
609715,60632,1,2,16.8,1,0.885
609716,60639,1,1,15.2,2,0.763
609718,60638,1,2,17.9,1,0.831
609719,60613,0,2,18.6,2,0.887
609720,60618,0,4,23.9,3,0.964
609722,60612,1,1,14.7,2,0.716
609723,60624,1,1,14.4,2,0.774
609724,60659,0,2,16.7,2,0.887
609725,60643,1,2,18.1,1,0.83
609726,60628,0,3,21.8,2,0.901
609727,60653,1,1,14.1,2,0.703
609728,60625,1,1,15.2,2,0.852
609729,60641,1,1,15.5,2,0.82
609730,60660,1,2,16.5,2,0.863
609732,60634,1,2,16.4,0,0.822
609733,60626,1,1,14.5,2,0.802
609734,60631,0,2,18.4,2,0.893
609735,60609,1,1,13.5,2,0.712
609736,60615,1,1,14.7,1,0.658
609737,60625,0,3,20.2,2,0.896
609738,60614,0,4,22.3,2,0.863
609739,60617,0,2,16.2,2,0.805
609740,60622,0,1,15.1,2,0.813
609741,60629,1,2,17.8,2,0.899
609746,60615,0,2,19.3,2,0.878
609749,60625,0,5,29.6,4,0.959
609751,60653,0,3,20.9,0,0.926
609753,60655,0,3,20.2,2,0.938
609754,60653,1,2,18,1,0.897
609755,60607,0,5,27,3,0.955
609756,60632,1,2,17.3,1,0.831
609759,60622,1,1,15,2,0.787
609760,60627,0,2,16.9,2,0.914
609761,60628,1,1,14.7,1,0.736
609762,60643,1,1,15.5,1,0.759
609764,60608,1,2,16.4,2,0.872
609768,60621,1,1,14.9,1,0.766
610244,60644,1,2,16.4,2,0.896
610245,60644,1,1,14.7,0,0.769
610297,60649,1,1,13.9,1,0.709
610304,60612,0,2,18.9,3,0.933
610323,60617,1,1,14.2,2,0.764
610334,60624,1,1,15.4,2,0.821
610340,60634,0,2,19.3,2,0.936
610357,60623,0,2,17.5,3,0.94
610380,60615,0,2,18,2,0.889
610381,60615,1,2,16.9,2,0.917
610383,60623,0,2,16.2,2,0.889
610384,60623,0,2,17.4,3,0.935
610385,60623,0,2,16.5,2,0.919
610389,60624,1,1,14.3,2,0.58
610390,60660,0,2,18.5,3,0.933
610391,60636,0,4,22.1,3,0.939
610392,60623,1,2,16.4,2,0.934
610394,60640,0,2,16.5,2,0.903
610402,60618,0,3,21,3,0.976
610499,60623,1,1,15.5,2,0.901
610501,60644,1,1,14.6,2,0.685
610502,60612,0,2,17.5,2,0.915
610506,60621,1,1,14.5,2,0.856
610513,60609,0,2,18.2,3,0.829
610518,60644,1,1,15.6,2,0.82
610524,60618,0,2,18,2,0.922
610529,60622,0,2,18.1,2,0.92
610535,60623,1,1,13.6,3,0.872
610543,60632,0,0,0,3,0.922
610547,60649,0,0,0,2,0.853
